Ten dich vu,Gia (VND)
"Khám Răng Hàm Mặt","60000"
"Khám Răng Hàm Mặt [Khám nội]","60000"
"Khám bệnh Răng Hàm Mặt theo yêu cầu riêng","200000"
"Khám đánh giá nha chu toàn diện","500000"
"Khám tư vấn chỉnh nha không mắc cài","2000000"
"Thủ thuật trên bệnh nhân có bệnh lý nội khoa [thêm vào]","200000"
"Khám + 1 lần đo độ hôi miệng (không sử dụng thuốc đặc hiệu)","300000"
"Khám + 2 lần đo độ hôi miệng (có sử dụng thuốc cho lần đo thứ 2)","400000"
"Khám chuyên biệt khớp thái dương hàm","200000"
"Tóm tắt bệnh án","160000"
"Giấy xuất viện lần 2","160000"
"Hội chẩn ca bệnh khó chuyên ngành Răng Hàm Mặt","1000000"
"Tiền giường điều trị theo yêu cầu [1 giường/ngày]","600000"
"Tiền giường điều trị theo yêu cầu [2 giường/ngày]","1200000"
"Tiền giường điều trị theo yêu cầu [3 giường/ngày]","1800000"
"Nhổ răng sữa","100000"
"Nhổ chân răng sữa","100000"
"Nhổ răng vĩnh viễn lung lay","300000"
"Nhổ răng vĩnh viễn","6000001000000"
"Phẫu thuật nhổ răng khôn mọc lệch hàm trên","10000001500000"
"Phẫu thuật nhổ răng khôn mọc lệch hàm dưới","15000001800000"
"Nhổ chân răng vĩnh viễn","200000500000"
"Nhổ chân răng vĩnh viễn [khó]","10000001500000"
"Phẫu thuật nhổ răng lạc chỗ","1000000"
"Phẫu thuật nhổ răng ngầm","2000000"
"Phẫu thuật mở xoang hàm để lấy chóp răng hoặc răng ngầm","4000000"
"Phẫu thuật nhổ răng ngầm [điều trị dưới gây mê hoặc tiền mê]","4200000"
"Phẫu thuật nhổ răng khôn mọc lệch hàm trên [điều trị dưới gây mê hoặc tiền mê]","30000003600000"
"Phẫu thuật nhổ răng khôn mọc lệch hàm dưới [điều trị dưới gây mê hoặc tiền mê]","30000003600000"
"Phẫu thuật mở xoang hàm để lấy chóp răng hoặc răng ngầm [điều trị dưới gây mê hoặc tiền mê]","5000000"
"Nhổ răng vĩnh viễn [điều trị dưới gây mê hoặc tiền mê]","20000003000000"
"Nhổ răng vĩnh viễn [Phẫu thuật điều chỉnh xương ổ răng và nhổ răng hàng loạt từ 4 răng trở lên]","4000000"
"Bấm gai xương ổ răng [1 Răng]","950000"
"Bấm gai xương trên 2 ổ răng: Điều chỉnh sống hàm < 04 răng","1000000"
"Bấm gai xương trên 2 ổ răng: Điều chỉnh sống hàm từ 04 đến 06 răng","1100000"
"Bấm gai xương trên 2 ổ răng: Điều chỉnh sống hàm > 06 răng","12000001500000"
"Bộc lộ răng ngầm trong xương (chỉnh nha)","1000000"
"Phẫu thuật cắt cuống răng [hàng loạt từ 4 răng trở lên]","4000000"
"Phẫu thuật cắt cuống răng","1500000"
"Phẫu thuật cắt cuống trám ngược bằng Biodentine","4000000"
"Cắt cuống răng nhiều chân","2000000"
"Phẫu thuật cắt phanh lưỡi","600000"
"Phẫu thuật cắt phanh môi","600000"
"Phẫu thuật cắt phanh má","600000"
"Phẫu thuật cắt phanh lưỡi bằng laser","1000000"
"Phẫu thuật cắt phanh môi bằng laser","1000000"
"Phẫu thuật cắt phanh má bằng laser","1000000"
"Phẫu thuật cắt nạo xương ổ răng","850000"
"Cắt lợi di động để làm hàm giả","1000000"
"Cắt lợi trùm răng khôn hàm dưới","200000"
"Cấy lại răng bị bật khỏi ổ răng","2000000"
"Phẫu thuật rạch dẫn lưu áp xe nông vùng hàm mặt [trong miệng]","1500000"
"Phẫu thuật rạch dẫn lưu áp xe nông vùng hàm mặt [ngoài miệng]","1500000"
"Trích rạch áp xe nhỏ","230000"
"Trích hạch viêm mủ","230000"
"Phẫu thuật lấy sỏi ống Wharton tuyến dưới hàm","1100000"
"Cắt nang răng đường kính dưới 2 cm","1000000"
"Phẫu thuật cắt nang do răng xương hàm trên","2400000"
"Cắt u lành phần mềm đường kính dưới 10 cm","2250000"
"Cắt u lành phần mềm đường kính trên 10 cm","3000000"
"Cắt u vùng hàm mặt đơn giản [Lấy u lành 3 đến 5cm]","3000000"
"Cắt chỉ sau phẫu thuật","42000"
"Gắp mảnh vỡ thân răng","100000"
"Bộc lộ răng ngầm trong xương dưới gây mê hoặc tiền mê (chỉnh nha)","2000000"
"Phẫu thuật cắt phanh lưỡi [gây mê]","2000000"
"Phẫu thuật cắt phanh môi [gây mê]","2000000"
"Chi phí điều chế Khối tiểu cầu gạn tách 120ml (đã bao gồm bộ dụng cụ gạn tách)","1999000"
"Chi phí điều chế Khối tiểu cầu gạn tách 40ml (đã bao gồm bộ dụng cụ gạn tách)","649000"
"Khối tiểu cầu 8 đơn vị (từ 2000 ml máu toàn phần) Bao gồm túi pool và lọc bạch cầu)","1886000"
"HBsAg test nhanh","120000"
"HBeAg test nhanh","160000"
"HCV Ab test nhanh","160000"
"HIV Ab test nhanh","120000"
"Phẫu thuật gây mê để cấy ghép implant [đơn vị thứ 1]","3000000"
"Phẫu thuật gây mê để cấy ghép implant [đơn vị thứ 1]","2000000"
"Phẫu thuật gây mê (hoặc gây tê) để cấy ghép implant từ đơn vị thứ 2 trở lên [mỗi đơn vị]","1000000"
"Gây mê khác","2000000"
