Ten dich vu,Gia (VND)
"Khám và tư vấn dịch vụ","150000"
"Khám bệnh theo yêu cầu - YC2","300000"
"Tổng phân tích tế bào máu ngoại vi (bằng máy đếm laser)","80000"
"Tổng phân tích nước tiểu (Bằng máy tự động)","59000"
"Dengue virus NS1Ag test nhanh","203000"
"Định lượng CRP hs (C-Reactive Protein high sesitivity)","82000"
"Xét nghiệm định lượng cấp NH3 trong máu","389000"
"Xét nghiệm tế bào cặn nước tiểu","66000"
"Định lượng HDL-C (High density lipoprotein Cholesterol) [Máu]","48000"
"Định lượng LDL - C (Low density lipoprotein Cholesterol) [Máu]","48000"
"Đo lactat trong máu","148000"
"Thời gian prothrombin (PT: Prothrombin Time), (Các tên khác: TQ; Tỷ lệ Prothrombin) bằng máy tự động","98000"
"Thời gian thromboplastin một phần hoạt hóa (APTT: Activated Partial Thromboplastin Time), (Tên khác: TCK) bằng máy tự động","63000"
"Định lượng Fibrinogen (Tên khác: Định lượng yếu tố I), phương pháp Clauss phương pháp trực tiếp, bằng máy tự động","154000"
"Định lượng D-Dimer","390000"
"Định lượng yếu tố đông máu nội sinh VIIIc, IX, XI","444000"
"Huyết đồ (bằng máy đếm laser)","107000"
"Xét nghiệm hồng cầu lưới (bằng máy đếm laser)","63000"
"Máu lắng (bằng máy tự động)","54000"
"Xét nghiệm số lượng và độ tập trung tiểu cầu (bằng phương pháp thủ công)","54000"
"Sàng lọc kháng thể bất thường (Kỹ thuật Scangel/Gelcard trên máy tự động)","341000"
"Định nhóm máu hệ ABO, Rh(D) (Kỹ thuật Scangel/Gelcard trên máy tự động)","134000"
"Nghiệm pháp Coombs trực tiếp (Kỹ thuật Scangel/Gelcard trên máy bán tự động)","125000"
"Nghiệm pháp Coombs trực tiếp (Kỹ thuật Scangel/Gelcard trên máy tự động)","125000"
"Nghiệm pháp Coombs gián tiếp (Kỹ thuật Scangel/Gelcard trên máy bán tự động)","125000"
"Nghiệm pháp Coombs gián tiếp (Kỹ thuật Scangel/Gelcard trên máy tự động)","125000"
"Điện di protein huyết thanh","573000"
"Điện di huyết sắc tố","549000"
"Đo hoạt độ ALP (Alkalin Phosphatase) [Máu]","42000"
"Đo hoạt độ Amylase","42000"
"Đo hoạt độ ALT (GPT)","42000"
"Đo hoạt độ AST (GOT)","42000"
"Định lượng Bilirubin trực tiếp","42000"
"Định lượng Bilirubin gián tiếp","42000"
"Định lượng Bilirubin toàn phần","42000"
"Định lượng Calci ion hóa","40000"
"Định lượng Cholesterol toàn phần (máu)","48000"
"Đo hoạt độ CK (Creatine kinase)","48000"
"Định lượng Cortisol","140000"
"Định lượng bổ thể C3","91000"
"Định lượng bổ thể C4","91000"
"Định lượng Creatinin","42000"
"Điện giải đồ (Na, K, Cl) [máu]","50000"
"Định lượng Ferritin","123000"
"Định lượng FT3 (Free Triiodothyronine)","99000"
"Định lượng FT4 (Free Thyroxine)","99000"
"Định lượng IgA (Immunoglobuline A) [Máu]","99000"
"Định lượng IgG (Immunoglobuline G) [Máu]","99000"
"Định lượng IgM (Immunoglobuline M) [Máu]","99000"
"Định lượng IgE (Immunoglobuline E) [Máu]","99000"
"Định lượng TSH (Thyroid Stimulating hormone)","91000"
"Đo hoạt độ GGT (Gama Glutamyl Transferase)","40000"
"Định lượng Glucose (niệu)","21000"
"Định lượng Glucose [máu]","42000"
"Định lượng Glucose (dịch chọc dò)","33000"
"Xét nghiệm Khí máu","327000"
"Định lượng Lactat (Acid Lactic)","148000"
"Định lượng Mg [Máu]","53000"
"Định lượng Phospho (máu)","42000"
"Định lượng Protein toàn phần [máu]","42000"
"Định lượng RF (Reumatoid Factor)","59000"
"Định lượng Ure [Niệu]","37000"
"Định lượng Urê [Máu]","42000"
"Định lượng Axit Uric","37000"
"Vi khuẩn nuôi cấy và định danh hệ thống tự động","451000"
"Vi khuẩn kháng thuốc hệ thống tự động","303000"
"Vi nấm soi tươi","65000"
"Streptococcus pyogenes ASO","65000"
"Treponema pallidum test nhanh","310000"
"HBsAg test nhanh","84000"
"HBeAg test nhanh","93000"
"HCV Ab test nhanh","84000"
"Hồng cầu, bạch cầu trong phân soi tươi","60000"
"Cặn Addis","66000"
"Định lượng Albumin [Máu]","42000"
"Định lượng Creatinin (niệu)","37000"
"Định lượng Protein (niệu)","34000"
"HBsAb(test nhanh)","88000"
"Troponin T/I","115000"
"Thời gian máu chảy phương pháp Duke","29000"
"Thời gian máu đông","26000"
"Định lượng Amoniac ( NH3)","115000"
"Tìm ketol trong nước tiểu","41000"
"Tìm ketol trong máu","33000"
"Hình dạng hồng cầu niệu","36000"
"HB niệu","36000"
"Vi khuẩn test nhanh","310000"
"Vi khuẩn nuôi cấy và định danh phương pháp thông thường","349000"
"Plasmodium (Ký sinh trùng sốt rét) Ag test nhanh","310000"
"Vi khuẩn kháng thuốc định lượng (MIC) (cho 1 loại kháng sinh)","287000"
"Dengue virus IgM miễn dịch bán tự động","216000"
"HSV 1+2 IgM miễn dịch bán tự động","216000"
"HSV 1+2 IgG miễn dịch bán tự động","216000"
"Định lượng ức chế yếu tố VIIIc","230000"
"Định lượng AT/AT III (Anti thrombin/ Anti thrombinIII)","212000"
"Định lượng FDP","212000"
"Dengue virus IgM/IgG test nhanh","203000"
"Lactat trong các dịch khác","148000"
"Xét nghiệm tế bào trong nước dịch chẩn đoán tế bào học (não tuỷ, màng tim, màng phổi, màng bụng, dịch khớp, rửa phế quản…) có đếm số lượng tế bào","140000"
"Vi khuẩn nhuộm soi","106000"
"HBeAb test nhanh","93000"
"HBcAb (test nhanh)","93000"
"HBeAb (test nhanh)","93000"
"Anti-HIV (nhanh)","84000"
"Xét nghiệm cyto (tế bào)","86000"
"Định lượng Amylase (niệu)","59000"
"Tìm ký sinh trùng sốt rét trong máu (bằng phương pháp thủ công)","58000"
"Xét nghiệm tế bào trong nước tiểu (bằng máy tự động)","66000"
"Định lượng Sắt huyết thanh","53000"
"Định lượng Mg ++ huyết thanh","53000"
"Định lượng huyết sắc tố (hemoglobin) bằng quang kế","51000"
"Điện giải niệu (Na, K, Cl)","50000"
"Đo hoạt độ Cholinesterase (ChE)","44000"
"Đo hoạt độ LDH (Lactat dehydrogenase) [Máu]","48000"
"Định lượng Triglycerid (máu) [Máu]","48000"
"Đo hoạt độ LDH (dịch chọc dò)","48000"
"VLDL Cholesterol","48000"
"CPK","48000"
"Định lượng Triglycerid (dịch chọc dò)","48000"
"Clo dịch","43000"
"Định lượng Acid Uric [Máu]","42000"
"Định lượng Protein (dịch chọc dò)","42000"
"Phản ứng Rivalta","29000"
"Định lượng Pro-calcitonin","604000"
"Dermatophagoides farinae (Mạt Df)","50000"
"Dermatophahoides pteronyssinus (Mạt Dp)","50000"
"Blomia tropicalis (Mạt BI)","50000"
"Cat (lông mèo)","50000"
"Dog hair (lông chó)","50000"
"Cockroach (gián)","50000"
"Egg (lòng trắng trứng)","50000"
"Crab (cua)","50000"
"Shrimp (tôm)","50000"
"Wheat flour (bột mì)","50000"
"Mixture of cereals (ngũ cốc)","50000"
"Mango (xoài)","50000"
"Potato (khoai tây)","50000"
"Siêu âm tuyến giáp","100000"
"Siêu âm các tuyến nước bọt","100000"
"Siêu âm cơ phần mềm vùng cổ mặt","100000"
"Siêu âm hạch vùng cổ","100000"
"Siêu âm hốc mắt","100000"
"Siêu âm qua thóp","100000"
"Siêu âm thành ngực (cơ, phần mềm thành ngực)","100000"
"Siêu âm các khối u phổi ngoại vi","100000"
"Siêu âm ổ bụng (gan mật, tụy, lách, thận, bàng quang)","100000"
"Siêu âm hệ tiết niệu (thận, tuyến thượng thận, bàng quang, tiền liệt tuyến)","100000"
"Siêu âm tử cung phần phụ","100000"
"Siêu âm ống tiêu hóa (dạ dày, ruột non, đại tràng)","100000"
"Siêu âm khớp (gối, háng, khuỷu, cổ tay….)","100000"
"Siêu âm phần mềm (da, tổ chức dưới da, cơ….)","100000"
"Siêu âm tuyến vú hai bên","100000"
"Siêu âm dương vật","100000"
"Siêu âm Doppler mạch máu","350000"
"Siêu âm Doppler tim, van tim [1]","350000"
"Siêu âm doppler xuyên sọ","350000"
"Siêu âm Doppler mạch máu ổ bụng (động mạch chủ, mạc treo tràng trên, thân tạng…)","350000"
"Siêu âm Doppler động mạch thận","350000"
"Siêu âm Doppler tĩnh mạch chậu, chủ dưới","350000"
"Siêu âm Doppler động mạch tử cung","350000"
"Siêu âm Doppler động mạch, tĩnh mạch chi dưới","350000"
"Siêu âm cầu nối động mạch tĩnh mạch","350000"
"Doppler động mạch cảnh, Doppler xuyên sọ","350000"
"Siêu âm tim, màng tim qua thành ngực","350000"
"Siêu âm Doppler màu tim/mạch máu","350000"
"Siêu âm tầm soát dị tật thai và tư vấn","700000"
"Tham vấn tiền sản (Không siêu âm)","150000"
"Siêu âm tim thai và siêu âm tổng quát","500000"
"Chụp Xquang sọ thẳng nghiêng","102000"
"Chụp Xquang mặt thẳng nghiêng","102000"
"Chụp Xquang mặt thấp hoặc mặt cao","102000"
"Chụp Xquang sọ tiếp tuyến","102000"
"Chụp Xquang hốc mắt thẳng nghiêng","102000"
"Chụp Xquang Blondeau","102000"
"Chụp Xquang Hirtz","102000"
"Chụp Xquang hàm chếch một bên","102000"
"Chụp Xquang xương chính mũi nghiêng hoặc tiếp tuyến","102000"
"Chụp Xquang hố yên thẳng hoặc nghiêng","102000"
"Chụp Xquang Schuller","102000"
"Chụp Xquang khớp thái dương hàm","102000"
"Chụp Xquang răng cánh cắn (Bite wing)","102000"
"Chụp Xquang cột sống cổ thẳng nghiêng","102000"
"Chụp Xquang cột sống cổ chếch hai bên","102000"
"Chụp Xquang cột sống cổ C1-C2","102000"
"Chụp Xquang cột sống ngực thẳng nghiêng hoặc chếch","102000"
"Chụp Xquang cột sống thắt lưng thẳng nghiêng","102000"
"Chụp Xquang cột sống thắt lưng chếch hai bên","102000"
"Chụp Xquang cột sống thắt lưng L5-S1 thẳng nghiêng","102000"
"Chụp Xquang cột sống thắt lưng động, gập ưỡn","102000"
"Chụp Xquang cột sống cùng cụt thẳng nghiêng","102000"
"Chụp Xquang khung chậu thẳng","102000"
"Chụp Xquang xương đòn thẳng hoặc chếch","102000"
"Chụp Xquang khớp vai thẳng","102000"
"Chụp Xquang khớp vai nghiêng hoặc chếch","102000"
"Chụp Xquang xương bả vai thẳng nghiêng","102000"
"Chụp Xquang xương cánh tay thẳng nghiêng","102000"
"Chụp Xquang khớp khuỷu thẳng, nghiêng hoặc chếch","102000"
"Chụp Xquang khớp khuỷu gập (Jones hoặc Coyle)","102000"
"Chụp Xquang xương cẳng tay thẳng nghiêng","102000"
"Chụp Xquang xương cổ tay thẳng, nghiêng hoặc chếch","102000"
"Chụp Xquang xương bàn ngón tay thẳng, nghiêng hoặc chếch","102000"
"Chụp Xquang khớp háng thẳng hai bên","102000"
"Chụp Xquang khớp háng nghiêng","102000"
"Chụp Xquang xương đùi thẳng nghiêng","102000"
"Chụp Xquang khớp gối thẳng, nghiêng hoặc chếch","102000"
"Chụp Xquang xương bánh chè và khớp đùi bánh chè","102000"
"Chụp Xquang xương cẳng chân thẳng nghiêng","102000"
"Chụp Xquang xương cổ chân thẳng, nghiêng hoặc chếch","102000"
