Ten dich vu,Gia (VND),Ghi chu
Thai sản trọn gói 'Hồng Ân' - Sinh thường,14.940.000,Chưa bao gồm tiền phòng
Thai sản trọn gói 'Hồng Ân' - Sinh mổ,22.800.000,Chưa bao gồm tiền phòng
Thai sản trọn gói 'Hồng Phúc' - Sinh thường,17.040.000,Gói tiêu chuẩn
Thai sản trọn gói 'Hồng Phúc' - Sinh mổ,23.160.000,Gói tiêu chuẩn
Thai sản trọn gói 'Hồng Đức' - Sinh thường,27.900.000,Gói cao cấp
Thai sản trọn gói 'Hồng Đức' - Sinh mổ,30.340.000,Gói cao cấp
Gói khám sức khỏe tổng quát cơ bản,1.500.000,Khám lâm sàng + XN cơ bản + X-quang + Siêu âm
Gói khám sức khỏe tổng quát VIP (Nam),5.036.800,Mã gói VIP0423 (HĐ3-2M) - Tham khảo tại HĐ III
Gói khám sức khỏe tổng quát VIP (Nữ),5.263.800,Mã gói VIP0423 (HĐ3-2F) - Tham khảo tại HĐ III
Gói khám sức khỏe Cao cấp VIP 5 sao,25.000.000,"Bao gồm PET-CT, MRI, Nội soi không đau..."
Gói khám sức khỏe Nam (Gói 2 - Tham khảo),1.225.000,Giá tham khảo cũ
Gói khám sức khỏe Nữ (Gói 2 - Tham khảo),1.395.000,Giá tham khảo cũ
Khám chuyên khoa (Nội/Ngoại/Sản...),200.000 - 500.000,Phí khám lâm sàng
Khám cấp cứu,150.000 - 680.000,Tùy thời gian và mức độ
Siêu âm,200.000 - 500.000,Tùy loại (2D/3D/4D/Doppler)
Chụp X-quang,150.000 - 400.000,Tùy vị trí
Chụp CT Scanner,1.400.000 - 5.000.000,Tùy bộ phận và thuốc cản quang
Chụp MRI (Cộng hưởng từ),1.200.000 - 15.000.000,Tùy bộ phận
Tiền phòng nội trú (Giường thường),410.000 - 810.000,Giá 1 ngày
Tiền phòng nội trú (VIP),1.560.000 - 2.970.000,Giá 1 ngày
