Ten dich vu,Gia (VND)
"Khám Nội","100000"
"Khám Da liễu","100000"
"Khám tâm thần","100000"
"Khám YHCT","100000"
"Khám Ngoại","100000"
"Khám Ung bướu","100000"
"Khám Phụ sản","100000"
"Khám Mắt","200000"
"Khám Răng hàm mặt","100000"
"Khám Phục hồi chức năng","100000"
"Khám mổ mắt Laser","200000"
"Khám hiếm muộn","200000"
"Tóm tắt bệnh án (HTSS)","150000"
"Khám sức khỏe cơ bản cho Nam","1600000"
"Khám sức khỏe cơ bản cho Nữ","1700000"
"Khám sức khỏe Tổng quát cho Nam","2700000"
"Khám sức khỏe tổng quát cho Nữ","3100000"
"Khám sức khỏe Tổng quát Nâng cao cho Nam","6500000"
"Khám sức khỏe Tổng quát Nâng cao cho Nữ","7300000"
"Tầm soát ung thư cơ bản cho Nam","2400000"
"Tầm soát ung thư cơ bản cho Nữ","3400000"
"Tầm soát ung thư nâng cao cho Nam","7800000"
"Khám SK TEST","500000"
"Tầm soát ung thư nâng cao cho Nữ","9000000"
"Khám sức khỏe và Tầm soát ung thư cơ bản cho Nam","3400000"
"Khám sức khỏe và Tầm soát ung thư cơ bản cho Nữ","4400000"
"Khám sức khỏe và Tầm soát ung thư nâng cao cho Nam","9800000"
"Khám sức khỏe và Tầm soát ung thư nâng cao cho Nữ","10800000"
"KSK công nhân cột cao","420000"
"Khám sức khỏe tuyển dụng","200000"
"Giường Đông Y","250000"
"Giường Hồi sức cấp cứu thường (bao gồm chăm sóc người bệnh toàn diện)","1600000"
"Giường Nội khoa chăm sóc cấp 1","750000"
"Giường Hồi sức tích cực","1500000"
"Giường nội trú HTSS","200000"
"Đo các chất khí trong máu","370000"
"Xét nghiệm đường máu mao mạch tại giường (một lần)","27000"
"Tinh dịch đồ","200000"
"Đặt catheter tĩnh mạch trung tâm nhiều nòng","1761000"
"Sốc điện ngoài lồng ngực cấp cứu","532400"
"Phẫu thuật khâu vết thương nhu mô phổi","7440000"
"Phẫu thuật lấy dị vật trong phổi - màng phổi","7490000"
