Ten dich vu,Gia (VND)
Khám bệnh chuyên khoa,50600
Hội chẩn để xác định ca bệnh khó (chuyên gia/ca),200000
Ngày điều trị hồi sức tích cực-ICU (chưa bao gồm chi phí máy thở nếu có),928100
"Ngày giường bệnh hồi sức cấp cứu, chống độc (chưa bao gồm chi phí máy thở nếu có)",558600
Ngày giường bệnh nội khoa Ung Thư (Nội Khoa Loại 1),305500
Ngày giường bệnh nội khoa Nhi (Nội Khoa Loại 1),305500
Ngày giường bệnh nội khoa: phụ sản không mổ (Nội Khoa Loại 2),273800
Ngày giường bệnh ngoại khoa sau phẫu thuật loại đặc biệt (Ngoại Khoa Loại 1),400400
Ngày giường bệnh ngoại khoa sau phẫu thuật loại 1 (Ngoại Khoa Loại 2),364400
Ngày giường bệnh ngoại khoa sau phẫu thuật loại 2 (Ngoại Khoa Loại 3),320700
Ngày giường bệnh ngoại khoa sau phẫu thuật loại 3 (Ngoại Khoa Loại 4),286700
Siêu âm,58600
"Siêu âm đầu dò âm đạo, trực tràng",195600
Siêu âm Doppler màu tim hoặc mạch máu,252300
Theo dõi tim thai và cơn co tử cung bằng monitoring,55000
Chụp X-quang số hóa 1 phim,73300
Chụp X-quang số hóa 2 phim,105300
Chụp X-quang số hóa 3 phim,125000
Chụp tử cung-vòi trứng bằng số hóa,451800
Chụp hệ tiết niệu có tiêm thuốc cản quang (UIV) số hóa,649800
Chụp cộng hưởng từ (MRI) không có thuốc cản quang,1341500
Chụp cộng hưởng từ (MRI) có thuốc cản quang,2250800
Đo mật độ xương 2 vị trí,148300
Mammography (1 bên),102300
Hóa trị liên tục (12-24 giờ) bằng máy,437500
Truyền hóa chất khoang màng bụng (1 ngày),240500
Chọc dò tuỷ sống,126900
Chọc hút khí màng phổi,162900
Rửa dạ dày,152000
Cắt chỉ,40300
Thông đái,101800
Thụt tháo phân hoặc đặt sonde hậu môn,92400
Chọc hút hạch hoặc u,126700
Chọc hút tế bào tuyến giáp,126700
Chọc dò màng bụng hoặc màng phổi,153700
Chọc rửa màng phổi,248500
Chọc hút khí màng phổi,162900
Thay rửa hệ thống dẫn lưu màng phổi,101400
Rửa bàng quang,230500
Nong niệu đạo và đặt thông đái,273500
Sinh thiết hạch hoặc u,294500
Nội soi ổ bụng,905700
Nội soi ổ bụng có sinh thiết,1095300
Mở khí quản,759800
Thở máy (01 ngày điều trị),625000
Đặt catheter động mạch quay,578500
Cấp cứu ngừng tuần hoàn,532500
Sinh thiết màng hoạt dịch dưới hướng dẫn của siêu âm,1170000
Chọc tháo dịch màng bụng hoặc màng phổi dưới hướng dẫn của siêu âm,195900
Chọc hút hạch hoặc u hoặc áp xe hoặc các tổn thương khác dưới hướng dẫn của siêu âm,171900
Đặt sonde dạ dày,101800
Đặt catheter tĩnh mạch trung tâm một nòng,685500
Đặt catheter tĩnh mạch trung tâm nhiều nòng,1158500
Đặt sonde JJ niệu quản,950500
Thay băng vết thương hoặc mổ chiều dài ≤ 15cm,64300
Thay băng vết thương chiều dài trên 15cm đến 30 cm,89500
Thay băng vết thương hoặc mổ chiều dài từ trên 15 cm đến 30 cm nhiễm trùng,148600
Thay băng vết thương hoặc mổ chiều dài từ 30 cm đến 50 cm nhiễm trùng,193600
Thay băng vết thương hoặc mổ chiều dài > 50cm nhiễm trùng,275600
Khâu vết thương phần mềm tổn thương nông chiều dài < 10 cm,194700
Rửa dạ dày,152000
Tập vận động toàn thân,59300
Xoa bóp bấm huyệt,76000
Điện từ trường,41900
Hồng ngoại,40900
"Kéo nắn, kéo dãn cột sống, các khớp",54800
Tập do cứng khớp,56200
Tập do liệt ngoại biên,33400
"Tập giao tiếp (ngôn ngữ, ký hiệu, hình ảnh...)",77500
Tập nuốt (không sử dụng máy),144700
Tập vận động với các dụng cụ trợ giúp,33400
Vật lý trị liệu hô hấp,32900
Xoa bóp cục bộ bằng tay,51300
Xoa bóp toàn thân,64900
"Chích rạch nhọt, Apxe nhỏ dẫn lưu",218500
Bóc nang tuyến Bartholin,1369400
Bóc nhân ung thư nguyên bào nuôi di căn âm đạo,3059900
Bóc nhân xơ vú,1079400
Cắt âm hộ + vét hạch bẹn hai bên,4158300
Cắt bỏ âm hộ đơn thuần,2971900
Cắt chỉ khâu vòng cổ tử cung,139000
Cắt cổ tử cung trên bệnh nhân đã mổ cắt tử cung bán phần,4541300
Cắt cổ tử cung trên bệnh nhân đã mổ cắt tử cung bán phần đường âm đạo kết hợp nội soi,5982300
Cắt u thành âm đạo,2268300
"Cắt u tiểu khung thuộc tử cung, buồng trứng to, dính, cắm sâu trong tiểu khung",6815100
"Cắt vú theo phương pháp Patey, cắt khối u vú ác tính + vét hạch nách",5507100
Chích áp xe tầng sinh môn,873000
Chích áp xe tuyến Bartholin,951600
Chích áp xe vú,251500
Chích rạch màng trinh do ứ máu kinh,885400
Chọc dẫn lưu dịch cổ chướng trong ung thư buồng trứng,1069900
Chọc dò màng bụng sơ sinh,444800
Chọc dò túi cùng Douglas,312500
Chọc nang buồng trứng đường âm đạo dưới siêu âm,2287400
Chọc ối,825800
Dẫn lưu cùng đồ Douglas,929400
Đặt mảnh ghép tổng hợp điều trị sa tạng vùng chậu,6477300
Điều trị tổn thương cổ tử cung bằng: đốt điện hoặc nhiệt hoặc laser,191500
"Điều trị viêm dính tiểu khung bằng hồng ngoại, sóng ngắn",389400
Đỡ đẻ ngôi ngược,1191900
Đỡ đẻ thường ngôi chỏm,786700
Đỡ đẻ từ sinh đôi trở lên,1510300
Đóng rò trực tràng - âm đạo hoặc rò tiết niệu - sinh dục,4545300
Forceps hoặc Giác hút sản khoa,1141900
Giảm đau trong đẻ bằng phương pháp gây tê ngoài màng cứng,682500
Hút buồng tử cung do rong kinh rong huyết,236500
Hút thai dưới siêu âm,522000
Huỷ thai: cắt thai nhi trong ngôi ngang,2951800
"Huỷ thai: chọc óc, kẹp sọ, kéo thai",2520200
"Khâu phục hồi rách cổ tử cung, âm đạo",1663600
Khâu rách cùng đồ âm đạo,2119400
Khâu tử cung do nạo thủng,3054800
Khâu vòng cổ tử cung,582500
Khoét chóp hoặc cắt cụt cổ tử cung,3019800
"Làm lại vết mổ thành bụng (bục, tụ máu, nhiễm khuẩn...) sau phẫu thuật sản phụ khoa",2833400
Làm thuốc vết khâu tầng sinh môn nhiễm khuẩn,94600
Lấy dị vật âm đạo,653700
"Lấy dụng cụ tử cung, triệt sản nữ qua đường rạch nhỏ",3191500
"Lấy khối máu tụ âm đạo, tầng sinh môn",2501900
Mở bụng bóc nhân ung thư nguyên bào nuôi bảo tồn tử cung,3716600
Nạo hút thai trứng,914600
"Nạo sót thai, nạo sót rau sau sẩy, sau đẻ",376500
Nội soi buồng tử cung can thiệp,4667800
Nội soi buồng tử cung chẩn đoán,3035700
Nội xoay thai,1472000
Nong buồng tử cung đặt dụng cụ chống dính,627100
Nong cổ tử cung do bế sản dịch,313500
Phá thai bằng phương pháp nong và gắp từ tuần thứ 13 đến hết tuần thứ 18,1265200
Phá thai bằng thuốc cho tuổi thai từ 7 tuần đến hết 13 tuần,352300
Phá thai đến hết 7 tuần bằng phương pháp hút chân không,450000
Phá thai đến hết 7 tuần bằng thuốc,199700
Phá thai to từ 13 tuần đến 22 tuần bằng phương pháp đặt túi nước,1133300
Phá thai từ 13 tuần đến 22 tuần bằng thuốc,611000
Phá thai từ tuần thứ 7 đến hết 12 tuần bằng phương pháp hút chân không,429500
Phẫu thuật bảo tồn tử cung do vỡ tử cung,5206200
"Phẫu thuật bóc khối lạc nội mạc tử cung ở tầng sinh môn, thành bụng",2949800
Phẫu thuật cắt âm vật phì đại,2892800
"Phẫu thuật cắt lọc vết mổ, khâu lại tử cung sau mổ lấy thai",4849400
"Phẫu thuật cắt một phần tuyến vú, cắt u vú lành tính",3135800
"Phẫu thuật cắt polip buồng tử cung (đường bụng, đường âm đạo)",4110800
Phẫu thuật cắt polip cổ tử cung,2104900
Phẫu thuật cắt tinh hoàn lạc chỗ,3001800
Phẫu thuật cắt tử cung đường âm đạo,4168300
Phẫu thuật cắt tử cung đường âm đạo có sự hỗ trợ của nội soi,6375900
"Phẫu thuật cắt tử cung tình trạng người bệnh nặng, viêm phúc mạc nặng, kèm vỡ tạng trong tiểu khung, vỡ tử cung phức tạp",10506300
Phẫu thuật cắt tử cung và thắt động mạch hạ vị do chảy máu thứ phát sau phẫu thuật sản khoa,8104200
Phẫu thuật cắt ung thư- buồng trứng + tử cung hoàn toàn + 2 phần phụ + mạc nối lớn,6836200
"Phẫu thuật cắt vách ngăn âm đạo, mở thông âm đạo",2932800
Phẫu thuật chấn thương tầng sinh môn,4142300
Phẫu thuật chửa ngoài tử cung thể huyết tụ thành nang,4197200
Phẫu thuật chửa ngoài tử cung vỡ có choáng,4157300
Phẫu thuật Crossen,4444300
"Phẫu thuật điều trị són tiểu (TOT, TVT)",5817300
Phẫu thuật khối viêm dính tiểu khung,3594800
Phẫu thuật làm lại tầng sinh môn và cơ vòng do rách phức tạp,3116800
"Phẫu thuật lấy thai có kèm các kỹ thuật cầm máu (thắt động mạch tử cung, mũi khâu B lynch…)",4570200
Phẫu thuật lấy thai lần đầu,2604800
Phẫu thuật lấy thai lần thứ 2 trở lên,3376200
"Phẫu thuật lấy thai trên người bệnh có bệnh truyền nhiễm (viêm gan nặng, HIV-AIDS, H5N1)",6517600
Phẫu thuật lấy thai trên người bệnh có sẹo mổ bụng cũ phức tạp,4395200
Phẫu thuật lấy thai trên người bệnh mắc bệnh toàn thân hoặc bệnh lý sản khoa,4739300
Phẫu thuật lấy thai và cắt tử cung trong rau cài răng lược,8625200
Phẫu thuật Lefort hoặc Labhart,3055800
Phẫu thuật Manchester,4113300
Phẫu thuật mở bụng bóc u xơ tử cung,3628800
Phẫu thuật mở bụng cắt góc tử cung,3939300
Phẫu thuật mở bụng cắt tử cung,4308300
Phẫu thuật mở bụng cắt tử cung hoàn toàn và vét hạch chậu,6849100
Phẫu thuật mở bụng cắt u buồng trứng hoặc cắt phần phụ,3217800
"Phẫu thuật mở bụng tạo hình vòi trứng, nối lại vòi trứng",5182300
"Phẫu thuật mở bụng thăm dò, xử trí bệnh lý phụ khoa",3054800
"Phẫu thuật mở bụng xử trí viêm phúc mạc tiểu khung, viêm phần phụ, ứ mủ vòi trứng",4721300
Phẫu thuật nội soi bóc u xơ tử cung,6548300
Phẫu thuật nội soi buồng tử cung cắt nhân xơ; polip; tách dính; cắt vách ngăn; lấy dị vật,5990300
Phẫu thuật nội soi cắt phần phụ,5503300
Phẫu thuật nội soi cắt tử cung,6346300
Phẫu thuật nội soi cắt tử cung hoàn toàn và vét hạch chậu,8630200
Phẫu thuật nội soi cắt ung thư buồng trứng kèm cắt tử cung hoàn toàn + 2 phần phụ + mạc nối lớn,8769200
Phẫu thuật nội soi điều trị vô sinh (soi buồng tử cung + nội soi ổ bụng),6455300
Phẫu thuật nội soi khâu lỗ thủng tử cung,5521300
Phẫu thuật nội soi lấy dụng cụ tử cung trong ổ bụng,5970800
Phẫu thuật nội soi ổ bụng chẩn đoán + tiêm MTX tại chỗ điều trị thai ngoài tử cung,5437300
