Ten dich vu,Gia (VND)
"6D Eyelid surgery (Easy) / Cắt mí 6D (trên/ dưới)","12000000"
"Eyelid surgery (VIP) / Cắt mí Perfect (trên/ dưới)","20800000"
"Eyelid Fat Removal / Lấy mỡ nội soi mí trên/dưới","5600000"
"Inner/Outer Corner Eye Surgery / Mở góc mắt (trong/ ngoài)","5600000"
"Fat Grafting for Eyelids / Cấy mỡ/ Ghép mỡ mí trên/ dưới","11200000"
"Tear Trough Correction / Xóa rãnh lệ","14000000"
"Direct Brow Lift / Nâng cung chân mày không phun","11200000"
"Eyelid Surgery All – in 1 (hard) / Combo Cắt mí trên/dưới + Cấy mỡ/ Lấy mỡ trên/dưới + Tạo khóe mắt","18400000"
"Nose Surgery – Nanoform material (Easy) / Nâng mũi cấu trúc Idol – Nanoform","35200000"
"Nose Surgery – Surgiform material (Easy) / Nâng mũi cấu trúc Idol – Surgiform","48000000"
"6D Rhinoplasty (VIP) / Nâng mũi không đau 6D – Surgiform","56800000"
"Costal cartilage Rhinoplasty – Nanoform (Hard) / Nâng mũi sụn sườn – Nanoform","71100000"
"Costal cartilage Rhinoplasty – Surgiform material (Hard) / Nâng mũi sụn sườn – Surgiform","83700000"
"Rib Cartilage Rhinoplasty / Nâng mũi sụn sườn 100%","88200000"
"Alar Reduction Surgery / Thu nhỏ cánh mũi (Cuộn/cắt cánh mũi)","5600000"
"Tip Plasty / Tạo hình/thu nhỏ đầu mũi","9600000"
"Nasal Bone Reshaping Surgery / Mài gồ, chỉnh xương siêu âm","12000000"
"Nose Implant Removal Surgery (Hard) / Bóc tách silicon/chỉ","17100000"
"Nose Implant Removal Surgery (Easy) / Tháo chất liệu mũi","6650000"
"Facelift surgery / Căng da mặt 3D","51200000"
"Facelift and neck lift surgery / Combo Căng da mặt + Cổ","71200000"
"Forehead lift / Căng da trán","40000000"
"Neck lift surgery / Căng da cổ","40000000"
"Temporal lift surgery / Căng da vùng thái dương","28000000"
"Full Face Fat Grafting (+PRP) / Cấy mỡ toàn mặt BIOFAT tăng sinh trẻ hóa (>=3 vùng)","45000000"
"Chin Sliding Surgery (Hard) / Độn cằm tự thân 3D (Trượt cằm)","36000000"
"Chin Sliding Surgery (Easy) / Độn cằm Hàn Quốc (Chất liệu thông thường)","24000000"
"Single Jaw Surgery (Easy) / Chỉnh hình hàm hô/ móm 3D (1 hàm trên/ dưới)","54400000"
"Single Jaw Surgery (Hard) / Chỉnh hình hàm hô/ móm 3D (1 hàm trên/ dưới khó, ghép xương/ xoay trục hàm…)","85500000"
"Jaw contouring surgery / Thu gọn góc hàm Vline 3D","54400000"
"Zygoma reduction surgery / Hạ gò má 3D","54400000"
"Lipo Cơ bản/ Basic – Lipo Nâng cấp/ Advanced +","4050000065800000"
"Lipo vùng đùi (M1, M2)","4500000056250000"
"Lipo mini 1 vùng lẻ","33750000"
"Lipo mini nhiều vùng kết hợp","18000000"
"Breast Augmentation (Easy) / Nâng ngực 6D không chạm (Nano chip)","67000000"
"Breast Augmentation VIP / Nâng ngực 6D VIP (Nano chip linh hoạt/Mentor extra)","84000000"
"Breast Lift with Areola Reduction / Tạo Hình Vú (Combo Thu gọn vú + Treo ngực sa trễ + Thu quầng)","80750000"
"Breast Lift + Areola Reduction + 4D Breast Augmentation Combo / Combo Treo ngực sa trễ + Thu quầng + Nâng ngực 4D","83300000"
"Breast Lift + Areola Reduction / Treo ngực/Treo ngực sa trễ + Thu quầng","56000000"
"Nipple Reduction Surgery / Tạo hình thu nhỏ đầu vú (núm vú)","10800000"
"Nipple Eversion Surgery / Kéo núm vú tụt","18000000"
"Nipple Elevation Surgery / Dựng núm vú","22500000"
"Areola Reshaping Surgery / Chỉnh hình quầng vú","22500000"
"Breast Reconstruction Level 1 / Tái tạo vú thì 1 ( lấy mô da dưới bụng ghép lên ngực)","72000000"
"Breast Reconstruction Level 2 / Tái tạo vú thì 2 ( tái tạo núm vú, chỉnh hình ngực cho cân đối 2 bên)","63000000"
