Ten dich vu,Gia (VND)
"Ghi điện tim cấp cứu tại giường","39900"
"Đặt catheter tĩnh mạch ngoại biên","25100"
"Đặt catheter tĩnh mạch trung tâm 01 nòng","685500"
"Đặt catheter tĩnh mạch trung tâm nhiều nòng","1158500"
"Đặt catheter động mạch","1400500"
"Siêu âm tim cấp cứu tại giường","252300"
"Siêu âm Doppler mạch cấp cứu tại giường","252300"
"Siêu âm dẫn đường đặt catheter tĩnh mạch cấp cứu","58600"
"Siêu âm dẫn đường đặt catheter động mạch cấp cứu","58600"
"Kỹ thuật đánh giá huyết động cấp cứu không xâm nhập bằng USCOM","252300"
"Sốc điện ngoài lồng ngực cấp cứu","532400"
"Hồi phục nhịp xoang cho người bệnh loạn nhịp bằng máy sốc điện","532400"
"Tạo nhịp tim cấp cứu tạm thời với điện cực ngoài lồng ngực","1042500"
"Chọc hút dịch màng ngoài tim dưới siêu âm","280500"
"Chọc dò màng ngoài tim cấp cứu","280500"
"Đặt dẫn lưu màng ngoài tim cấp cứu bằng catheter qua da","685500"
"Đặt canuyn mũi hầu, miệng hầu","40300"
"Hút đờm qua ống nội khí quản/canuyn mở khí quản bằng ống thông một lần ở người bệnh không thở máy (một lần hút)","14100"
"Hút đờm qua ống nội khí quản/canuyn mở khí quản bằng ống thông một lần ở người bệnh có thở máy (một lần hút)","14100"
"Hút đờm qua ống nội khí quản/canuyn mở khí quản bằng ống thông kín (có thở máy) (một lần hút)","373600"
"Bóp bóng Ambu qua mặt nạ","248500"
"Đặt ống nội khí quản","600500"
"Đặt nội khí quản 2 nòng","600500"
"Đặt nội khí quản cấp cứu bằng Combitube","885800"
"Đặt mặt nạ thanh quản cấp cứu","885800"
"Đặt ống nội khí quản có cửa hút trên bóng chèn (Hi-low EVAC)","600500"
"Mở khí quản cấp cứu","759800"
"Mở khí quản qua màng nhẫn giáp","759800"
"Mở khí quản thường quy","759800"
"Mở khí quản qua da một thì cấp cứu ngạt thở","759800"
"Chăm sóc lỗ mở khí quản (một lần)","64300"
"Thay ống nội khí quản","600500"
"Thay canuyn mở khí quản","263700"
"Khí dung thuốc cấp cứu (một lần)","27500"
"Khí dung thuốc qua thở máy (một lần)","27500"
"Đặt canuyn mở khí quản 02 nòng","263700"
"Chọc hút dịch khí phế quản qua màng nhẫn giáp","248500"
"Siêu âm màng phổi cấp cứu","58600"
"Chọc hút dịch – khí màng phổi bằng kim hay catheter","162900"
"Dẫn lưu khí màng phổi áp lực thấp ≤ 8 giờ","192300"
"Mở màng phổi cấp cứu","628500"
"Mở màng phổi tối thiểu bằng troca","628500"
"Dẫn lưu màng phổi liên tục ≤ 8 giờ","192300"
"Chọc hút dịch, khí trung thất","162900"
"Dẫn lưu trung thất liên tục ≤ 8 giờ","192300"
"Nội soi khí phế quản cấp cứu","1508100"
"Nội soi khí phế quản lấy dị vật","3308100"
"Bơm rửa phế quản","1508100"
"Nội soi phế quản sinh thiết xuyên thành ở người bệnh thở máy","2310600"
"Thông khí nhân tạo không xâm nhập [giờ theo thực tế]","625000"
"Phẫu thuật chỉnh sửa các biến chứng sau mổ thẩm mỹ vùng mắt","2396200"
"Phẫu thuật chỉnh sửa các biến chứng sau mổ nâng mũi","2396200"
"Phẫu thuật cấy mỡ làm đầy vùng mặt","4630500"
"Phẫu thuật cấy mỡ bàn tay","4630500"
