Ten dich vu,Gia (VND)
"Khám bệnh chuyên khoa","45000"
"Khám bệnh chuyên khoa YHCT","36500"
"Hội chẩn ca bệnh khó chuyên ngành Nội","200000"
"Giường Hồi sức cấp cứu Hạng II","418500"
"Giường Nội khoa loại 1 Hạng II","257100"
"Giường Nội khoa loại 2 Hạng II","222300"
"Giường nội khoa loại 1","257100"
"Giường nội khoa loại 2 Hạng II","222300"
"Giường YHCT ban ngày Nội khoa loại 3 Hạng II","53190"
"Giường Ngoại khoa loại 2 Hạng II","301600"
"Giường Ngoại khoa loại 3 Hạng II","269200"
"Giường Ngoại khoa loại 4 Hạng II","229200"
"Định lượng Acid Uric [Máu]","22400"
"Định lượng Albumin [Máu]","22400"
"Đo hoạt độ Amylase [Máu]","22400"
"HIV Ab test nhanh","58600"
"Streptococcus pyogenes ASO","45500"
"Vi khuẩn nuôi cấy và định danh phương pháp thông thường","261000"
"Định lượng D-Dimer","272900"
"Định lượng HbA1c [Máu]","105300"
"Nghiệm pháp dung nạp glucose đường uống (75g glucose) 3 mẫu cho người bệnh thai nghén","166200"
"Siêu âm phần mềm (da, tổ chức dưới da, cơ….)","58600"
"Siêu âm doppler tim, van tim","252300"
"Chụp X-quang Blondeau [số hóa 2 phim]","105300"
"Điện tim thường","39900"
"Bóc nang tuyến Bartholin","1369400"
"Cắt 1 thùy tuyến giáp trong bướu giáp nhân","3620900"
"Cắt túi mật","4993100"
"Nội soi can thiệp – cắt 1 polyp ống tiêu hóa < 1 cm","1108300"
"Phẫu thuật tán nhuyễn thể thủy tinh bằng siêu âm (phaco) có hoặc không đặt IOL","2752600"
"Xử lý vết thương phần mềm, tổn thương nông vùng mắt","1043500"
