id,load_level,avg_waiting_time
1913d55b,Overloaded,120
004c710a,Overloaded,120
a0bb1f29,Overloaded,120
052fc7e2,Overloaded,120
bb44c167,Overloaded,120
6a267730,Overloaded,120
1d20652a,Overloaded,120
e1a6c5b2,Overloaded,120
04ff4b2d,Medium,40
da8130dd,Medium,40
139e46b3,High,60
105a9b4b,High,60
5854f135,High,60
9c6b29c1,High,60
cffca54d,High,60
7e2c9bc9,High,60
c2a6ac59,High,60
368085e6,High,60
87e15752,Low,20
9658e4f2,Low,20
1b98be48,Medium,40
2cf135e6,Low,20
66886ee2,Low,20
a634a116,Medium,40
c03ea2c2,Medium,40
ab0f99b6,Medium,40
78858303,Medium,40
ea966db6,Medium,40
528af556,Medium,40
011372f0,Overloaded,120
d6d1a0d0,Low,20
be2ee6a2,Low,20
519ceacc,Low,20
2e73b02a,Medium,40
405783b2,Low,15
3611078e,Low,15
0f97318a,Low,20
bf52a5ee,Medium,40
bc658a31,Medium,40
6112858a,Low,15
3f244999,Low,15
a8bfa645,Low,15
894274ed,Medium,40
cd3632f5,Low,15
0404c735,Low,15
b047b1b6,Low,15
8268144b,Low,15
d5aeff85,Low,15
f4ae72e7,Low,15
72840bdd,Low,15
3631d2cc,Low,15
b02721fe,Low,15
b1fbbe65,Medium,40
5297e8bc,Medium,40
22b5cec6,Overloaded,120
ca33bc9f,Low,15
3ab75aab,High,60
705fc749,Low,20
fbfe497a,Overloaded,120
45e717fc,Medium,40
6e369fa1,Medium,40
d2d13275,Medium,40
a419f0a3,High,60
dfd3362c,High,60
98c6a6af,Medium,40
1e3117cb,Low,20
24b7df36,Low,20
cb1f4fa5,Low,20
2a6de565,Low,20
9f2a25d2,Low,20
40bc4a37,Low,20
9bfdfc9e,Low,20
a449489d,Low,20
8c15c341,Medium,40
b748905f,Medium,40
b58d74e6,Medium,40
5eee5e6f,Medium,40
a6df8434,Medium,40
9f1eaba5,Medium,40
7d9da2bf,Medium,40
c9d03676,Low,20
e2d37178,Low,20
60340c42,Medium,40
deb1d98e,Low,15
753302da,Low,15
0e4aa854,Low,15
